ProductName,ProductBrand,Gender,Price (INR),Description,PrimaryColor,JenisPakaian
Pepe Jeans Girls Blue AMORA Skinny Fit Heavy Fade Stretchable Jeans,Pepe Jeans,Girls,1299,"  Medium heavy fade blue jeans   Skinny fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  ",Blue,Jeans
Puma Unisex Black King Hero Leather Football Shoes,Puma,Unisex,2399,"Features:A pair of black football sports shoes, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerAbout Puma King Hero:The classic leather boot has been and still is the choice of top professionals and Sunday league players alike. With its soft full grain leather upper, the new KING Hero is the epitome of a modern classic.",Black,Top
Pepe Jeans Boys Blue Slim Fit Mid-Rise Clean Look Jeans,Pepe Jeans,Boys,849,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Pepe Jeans Boys Yellow Printed Sweatshirt,Pepe Jeans,Boys,649,"Yellow printed sweatshirt, has a round neck, long sleeves, straight hem",Yellow,Shirt
Cation Black Top,Cation,Women,491,"Black knitted top, has a round neck, sleeveless",Black,Top
Pepe Jeans Boys Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Pepe Jeans,Boys,849,"Blue printed medium wash 5-pocket mid-rise jeans, mildly distressed, heavy fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Pepe Jeans Boys Navy Blue Printed Regular Trousers,Pepe Jeans,Boys,999,"Navy blue abstract printed regular trousers, has a waistband with beltloops, button closure, zip fly and four pockets",Blue,Jeans
Pepe Jeans Boys Green Printed Pullover Sweater,Pepe Jeans,Boys,749,"Green printed pullover sweater, has a round neck, long sleeves, and ribbed hem",Green,Jeans
Puma Unisex Black Ralph Sampson Mid-Top Leather Sneakers,Puma,Unisex,5599,"About the shoeBack in the '80s, Ralph Sampson was a basketball legend. First pick of the NBA Draft in '83, Rookie of the Year in '84, he towered over the rest of the players and elevated the game to unprecedented heights. Signing Sampson took PUMA to the next level in the basketball world - and in return, we created a customized kick just for him. Enter: the PUMA Ralph Sampson. With a mid-height construction for ankle support and a lightweight design for speed and agility, it was tailored to Sampson's needs on the court and stamped with his signature at the side. Today, over 30 years later, PUMA is bringing back the OG silhouette in honor of a Hall of Famer whose legend still impacts the game today. This reissue is available for a new generation of bball fans who care about off-court style as much as on-court performance.Product DetailsA pair of black shoes, has mid-top styling, lace-up detailArchive Ralph Sampson mid-top court silhouetteLeather upper with perforated details on vampPadded collar and tongue with fitted leather overlays around ankleFull lace closure with mid-rise lacing optionTextured rubber sole provides traction and gripContrast color PUMA Formstrip overlay on lateral sideGold hand-written effect Ralph Sampson signature across ankleGold retro PUMA Majesty branding on lateral sidePUMA branded label on tongueWarranty: 3 monthsWarranty provided by brand/manufacturer",Black,Top
Pepe Jeans Boys Olive Green & Black Camouflage Printed Bomber Jacket,Pepe Jeans,Boys,1649,"Olive Green and Black printed bomber jacket, has a stand collar, 3 pockets, zip closure, long sleeves, straight hem, and polyester lining",Green,Jeans
Genius18 Men White & Black Printed Polo Collar T-shirt,Genius18,Men,577,"White and black printed T-shirt, has a polo collar, short sleeves",Black,Shirt
Raymond Men White Contemporary Regular Fit Solid Formal Shirt,Raymond,Men,2299,"White solid formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",White,Shirt
Pepe Jeans Girls Yellow Printed Round Neck T-shirt,Pepe Jeans,Girls,499,"Yellow printed T-shirt, has a round neck, and short sleeves",Yellow,Shirt
Pepe Jeans Boys Blue Straight Fit Clean Look Jeans,Pepe Jeans,Boys,749,"Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Lino Perros Blue Solid Shoulder Bag,Lino Perros,Women,1537,"Blue solid shoulder bag, has a zip closure1 main compartment, 1 external and 3 inner pocketsTablet sleeve: NoTwo HandlesWarranty: 3 monthsWarranty provided by brand/manufacturer",Blue,Bag
Pepe Jeans Boys Red Printed Round Neck T-shirt,Pepe Jeans,Boys,699,"Red printed T-shirt, has a round neck, and short sleeves",Red,Shirt
Louis Philippe Sport Men Blue & Grey Slim Fit Printed Casual Shirt,Louis Philippe Sport,Men,1236,"Blue and Grey printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Trend Arrest Women Burgundy & White Striped Basic Layered Jumpsuit,Trend Arrest,Women,599,"Burgundy, white and grey striped basic layered jumpsuit, has a halter neck with tie-up, sleeveless, two pockets, concealed zip closure",Red,Suit
Pepe Jeans Boys Blue & Yellow DART LS IP Regular Fit Checked Casual Shirt,Pepe Jeans,Boys,799,"Blue and Yellow checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Pepe Jeans Boys Blue Slim Fit Mid-Rise Clean Look Jeans,Pepe Jeans,Boys,849,"Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Blue,Jeans
Louis Philippe Sport Men Blue & White Slim Fit Checked Casual Shirt,Louis Philippe Sport,Men,1236,"Blue and White checked casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",Blue,Shirt
Puma Men Black Perforated Ralph Sampson Lo Leather Sneakers,Puma,Unisex,4549,"Product design details Main material: Leather upper / Textile lining / Rubber outsole Brand colour: Black-Faded DenimCentral lace-up Warranty: 3 months against manufacturing defectWarranty provided by brand owner/manufacturerAbout Puma Men Ralph Sampson Lo Basketball ShoesInspired by and designed after four-time All-Star, NBA Rookie of the Year, Houston Rockets alumni and Hall-of-Famer Ralph Sampson, these clean, classic, court-ready kicks combine sport style with modern urban fashion. In celebration of his legacy, PUMA is bringing this signature shoe back from the archives in low and high top silhouettes. With a luxurious leather upper for an edgy aesthetic, these kicks are icons in the game or on street - just like Ralph himself.",Black,Top
Pepe Jeans Boys Green & Navy Blue Colourblocked Round Neck DYLAN T-shirt,Pepe Jeans,Boys,599,"Green and navy blue colourblocked T-shirt, has a round neck, and long sleeves",Blue,Shirt
Lapis O Lupo Turquoise Blue Solid Sling Bag,Lapis O Lupo,Women,655,"Turquoise Blue solid sling bag, has a zip closure1 main compartment, 1 inner pocket",Blue,Bag
DEYANN Men Green Printed Made to Measure Kurta with Churidar,DEYANN,Men,1377,"Green and white printed kurta with churidarGreen straight knee length kurta, has a mandarin collar, three-quarter sleeves, straight hemWhite solid churidar, drawstring closureWhat is Made to Measure?Customised kurta set according to your body measurements. So please refer to the Size Chart to pick your perfect size.",Green,Kurta
Pepe Jeans Boys Red & White Printed Round Neck T-shirt,Pepe Jeans,Boys,524,"Red and White printed T-shirt, has a round neck, and long sleeves",Red,Shirt
SG YUVRAJ Boys Beige Solid Kurta with Pyjamas,SG YUVRAJ,Boys,879,"Beige solid kurta with pyjamas Beige pathani knee length kurta, has a shirt collar, long sleeves, curved hem Beige solid pyjamas, drawstring closure",Beige,Kurta
Pepe Jeans Girls Blue & White Striped Skinny Fit Low Distress Applique Stretchable Jeans,Pepe Jeans,Girls,849,"  Light no fade blue jeans   Skinny fit,  mid-rise   Low distress   Stretchable   Printed   5 pocket   Length: regular  ",Blue,Jeans
Pepe Jeans Boys Navy Blue Printed Sweater,Pepe Jeans,Boys,899,"Navy Blue printed sweater, has a round neck, long sleeves, and ribbed hem",Blue,Jeans
Saree mall Sea Green & Pink Printed Saree,Saree mall,Women,671,Sea green and Pink printed saree and has a woven design borderBlouse PieceThe model is wearing a stitched version of the blouse. The saree comes with an unstitched blouse piece.,Green,Saree
MISH Women Green Shift Dress,MISH,Women,1319,"Green solid woven shift dress, has shoulder straps, concealed zip closure, an attached lining, and straight hem, side slsit on one side",Green,Dress
The Vanca Women Multicoloured Printed A-Line Top,The Vanca,Women,531,"Multicoloured printed woven A-line  top, has a tie-up neck, and long sleeves",Red,Top
Lino Perros Pink Textured Handheld Bag,Lino Perros,Women,1757,"Pink textured handheld bag, has a zip closure1 main compartment, 3 inner pocketsTablet sleeve: NoTwo Handles",Red,Bag
Lapis O Lupo Black Solid Leatherette Handheld Bag,Lapis O Lupo,Women,815,"Black solid handheld bag, has a zip closure2 main compartments, 1 inner pocketTablet sleeve: NoTwo Handles",Black,Bag
Indo Era Women Mustard Yellow & Maroon Yoke Design Kurta with Palazzos,Indo Era,Women,1427,"Mustard yellow, maroon and green yoke design kurta with palazzosMustard yellow, maroon and green yoke design A-line calf length kurta with threadwork detail, has a round neck, three-quarter sleeves, curved hemMaroon solid palazzos, has a partially elasticated waistband with slip-on closure",Yellow,Kurta
DEYANN Men Blue & Black Printed Straight Kurta,DEYANN,Men,1197,"Blue and Black printed straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits",Blue,Kurta
Plum Green Tea Renewed Clarity Night Gel & Face Care Kit,Plum,Unisex,1816,"What it isThis skin care gift set consists of a face mask, an alcohol-free toner, a moisturiser and a pore cleansing face washWhat it doesGreen Tea Face maskProvides a good balance for oily skinGreen Tea Alcohol-free tonerGently removes impurities and leaves the skin feeling refreshed, refined and comfortableGreen Tea MoisturiserHydrates the skin without making it feel stickyGreen TeaPore Cleansing face washHas a deep cleansing actionmoisturising agents soothe and soften the skin leaving it perfectly cleansed and purifiedIngredientsGreen tea extractsComes in a pouchSuitable for which skin typeOily skin What it isGreen tea renewed clarity night gelWhat it doesBreakthrough light gel texture Non-comedogenic ingredients Balanced hydration Argan oil to help skin retain moisture through the night Green tea extracts to help combat blemishesLicorice, willow bark for clearer skinGlycolic acid for gentle exfoliation and smoother skin Goji berry and gingko biloba to nourish your skin while you sleepOrganic aloe juice to soothe your skinIngredientsArgan oilGreen tea extractGlycolic acidBark extractGoji berryGingko biloba",Green,Suit
Twisha Girls Off-White Printed Top,Twisha,Girls,499,"Off-White printed woven regular top, has a round neck, short sleeves, and hook and eye closureComes with a white camisole",White,Top
Moda Rapido Women Black Loose Fit Solid Cargos,Moda Rapido,Women,2399,"Black solid mid-rise trousers, button closure, and 4 pockets",Black,Trousers
Pepe Jeans Boys Navy Blue Cashed Slim Fit Faded Denim Trousers,Pepe Jeans,Boys,949,"Navy Blue faded denim trousers, has a drawstring closure, 3 pockets and 2 mock pockets on the back",Blue,Jeans
Pepe Jeans Boys Off White & Blue Printed T-shirt,Pepe Jeans,Boys,799,"  Off white and blue Tshirt for boys   Graphic printed   Regular length   Round neck   Short,  regular sleeves   Knitted cotton fabric  ",Blue,Shirt
Pepe Jeans Boys Blue Slim Fit Light Fade Stretchable Jeans,Pepe Jeans,Boys,849,"  Dark light fade blue jeans   Slim fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  ",Blue,Jeans
Pepe Jeans Girls Grey Skinny Fit Light Fade Stretchable Jeans,Pepe Jeans,Girls,799,"  Light fade grey jeans   Skinny fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  ",Grey,Jeans
Alcis Men Green Printed Round Neck Sports T-shirt,Alcis,Men,449,"Green printed sports T-shirt, has a round neck, and short sleeves",Green,Shirt
Alcis Women Blue Printed V-Neck T-shirt,Alcis,Women,449,"Blue printed T-shirt, has a V-neck, and short sleeves",Blue,Shirt
Lapis O Lupo Mustard Brown Self Design Handheld Bag,Lapis O Lupo,Women,1043,"Mustard Brown self design handheld bag, has a zip closure4 main compartments, 1 inner pocketDetachable sling strapTwo Handles",Brown,Bag
Alcis Women Solid Charcoal Grey Solid Hooded Tracksuit,Alcis,Women,2559,"Charcoal grey solid tracksuitCharcoal grey solid track sweatshirt, has a hood with drawstring, long sleeves, two pockets, zip closureCharcoal grey solid mid-rise track pants, has an elasticated waistband with drawstring closure, two pockets",Grey,Shirt
Saree mall Pink & Green Printed Bhagalpuri Saree,Saree mall,Women,491,"Design Detail:Pink and Green bhagalpuri printed saree and has a solid border with tasselled detailBlouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look likeOrigin:Bhagalpuri sarees have the finest texture of silk springing out from the essence of nature. Known for the unique and striking resilience and superior quality, these are filled with every slice of Indian cultural aspects which are drawn from the intricacies of the natural surroundings.Fabric:Art silk is manufactured by synthetic fibres like rayon. It's light in weight and is soft on the skin for comfort in summers.",Green,Saree
